hotel,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,canceled
Resort Hotel,October,42,16,0,0,2,BB,PRT,Online TA,TA/TO,D,D,1,No Deposit,Transient-Party,0.0,0,3,0
City Hotel,October,41,3,1,3,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,103.76,0,1,0
Resort Hotel,October,40,1,2,5,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,47.6,0,1,1
Resort Hotel,August,34,20,2,4,3,HB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,222.07,0,0,1
City Hotel,January,5,29,2,4,2,BB,GBR,Direct,Direct,D,D,1,No Deposit,Transient,98.88,0,1,0
Resort Hotel,August,32,7,3,6,2,BB,FRA,Direct,Direct,E,E,2,No Deposit,Transient,157.52,0,1,0
City Hotel,May,21,15,2,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,81.75,0,0,0
Resort Hotel,March,11,14,0,5,2,HB,DEU,Direct,Direct,E,E,0,No Deposit,Transient,80.0,0,0,0
Resort Hotel,September,38,15,2,5,2,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,50.15,0,1,0
City Hotel,September,38,14,1,2,2,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,84.0,0,0,0
Resort Hotel,July,30,22,0,2,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,160.0,0,0,1
City Hotel,January,5,30,2,5,3,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,70.4,0,0,1
Resort Hotel,August,35,21,2,3,2,BB,GBR,Online TA,TA/TO,D,D,2,No Deposit,Transient,205.0,0,0,1
City Hotel,November,48,23,1,1,1,BB,KNA,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,70.0,0,0,0
Resort Hotel,December,53,30,0,3,2,Undefined,PRT,Groups,Direct,A,A,0,No Deposit,Transient-Party,224.67,0,0,0
City Hotel,September,38,18,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient-Party,101.5,0,0,1
City Hotel,May,22,30,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,130.0,0,0,1
City Hotel,September,40,28,1,4,1,BB,PRT,Online TA,TA/TO,G,G,2,No Deposit,Transient,279.2,0,1,1
City Hotel,July,31,27,0,3,3,BB,DEU,Online TA,TA/TO,D,D,0,No Deposit,Transient,139.5,0,2,0
Resort Hotel,September,37,5,1,5,2,BB,CN,Online TA,TA/TO,D,D,0,No Deposit,Transient,146.0,0,0,1
City Hotel,March,13,20,2,4,2,BB,FIN,Online TA,TA/TO,A,A,0,No Deposit,Transient,61.41,0,0,0
City Hotel,March,13,28,0,4,2,SC,SWE,Online TA,TA/TO,A,A,0,No Deposit,Transient,83.3,0,0,0
Resort Hotel,September,40,30,2,3,2,BB,ESP,Online TA,TA/TO,G,G,2,No Deposit,Transient,178.2,1,2,0
City Hotel,October,42,12,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Contract,62.0,0,0,1
City Hotel,April,17,27,0,1,1,BB,ESP,Direct,Direct,D,D,1,No Deposit,Transient,6.0,0,0,0
Resort Hotel,September,38,18,2,3,2,HB,ESP,Offline TA/TO,TA/TO,D,D,1,No Deposit,Transient,99.5,0,2,0
City Hotel,July,28,6,0,4,2,BB,HUN,Direct,Direct,A,C,0,No Deposit,Transient,93.75,0,1,0
City Hotel,May,20,10,0,3,2,HB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,126.0,0,1,0
Resort Hotel,July,30,19,2,5,2,HB,ROU,Online TA,TA/TO,E,E,0,No Deposit,Transient,209.0,0,2,0
City Hotel,April,16,12,0,3,3,BB,CHE,Online TA,TA/TO,D,D,0,No Deposit,Transient,157.0,0,2,0
City Hotel,September,39,23,0,2,2,BB,ESP,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,0
City Hotel,July,28,10,1,2,3,BB,DEU,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,138.0,0,1,0
City Hotel,August,33,10,0,3,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,114.3,0,2,0
City Hotel,April,15,13,0,3,2,BB,ESP,Online TA,TA/TO,F,F,0,No Deposit,Transient,198.0,0,1,0
City Hotel,March,12,19,2,5,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,41.43,0,2,0
City Hotel,August,35,25,0,4,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,1
City Hotel,August,31,5,2,5,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,148.5,0,0,1
City Hotel,January,5,25,1,4,2,BB,MAR,Online TA,TA/TO,B,B,0,No Deposit,Transient-Party,77.25,0,0,1
City Hotel,January,5,27,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,81.0,0,0,0
Resort Hotel,November,46,11,1,4,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,49.59,0,2,0
City Hotel,March,11,14,0,2,1,BB,PRT,Complementary,Direct,A,A,0,No Deposit,Transient,0.0,0,1,0
Resort Hotel,June,25,16,0,3,2,BB,DEU,Online TA,TA/TO,G,G,0,No Deposit,Transient,201.0,1,0,0
City Hotel,April,14,5,0,4,2,BB,NLD,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient-Party,95.0,0,1,0
City Hotel,October,41,2,2,3,2,SC,NLD,Online TA,TA/TO,A,A,1,No Deposit,Transient,79.0,0,2,0
Resort Hotel,July,28,8,1,2,2,HB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,163.78,1,1,0
City Hotel,April,16,16,0,1,2,SC,IRL,Online TA,TA/TO,A,A,0,No Deposit,Transient,89.0,0,1,0
City Hotel,March,12,15,0,3,2,HB,DEU,Offline TA/TO,TA/TO,D,D,1,No Deposit,Transient,111.0,0,0,0
City Hotel,July,30,25,2,1,2,HB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient-Party,86.0,0,0,1
City Hotel,July,27,6,2,3,2,BB,NLD,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,75.65,0,1,0
Resort Hotel,April,15,12,0,4,2,BB,ESP,Online TA,TA/TO,E,E,0,No Deposit,Transient,90.0,0,2,0
City Hotel,February,6,11,0,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,108.0,0,2,0
Resort Hotel,July,30,18,3,6,3,BB,PRT,Online TA,TA/TO,H,H,0,No Deposit,Transient,210.0,0,0,1
City Hotel,December,49,5,2,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
Resort Hotel,September,37,10,2,3,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,133.0,0,0,1
Resort Hotel,September,39,24,2,2,2,HB,ESP,Direct,Direct,D,G,0,No Deposit,Transient,163.5,1,0,0
Resort Hotel,January,2,9,2,5,2,BB,GBR,Offline TA/TO,TA/TO,A,I,1,No Deposit,Transient,26.0,0,0,0
City Hotel,May,19,9,0,4,2,BB,BRA,Direct,Direct,A,A,1,No Deposit,Transient,121.5,0,3,0
City Hotel,August,33,19,2,2,2,BB,DEU,Online TA,TA/TO,A,A,2,No Deposit,Transient,132.53,0,0,0
Resort Hotel,August,33,12,3,7,2,HB,PRT,Online TA,TA/TO,E,E,1,No Deposit,Transient,205.0,0,0,1
City Hotel,June,25,14,0,2,1,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,93.17,0,1,0
City Hotel,July,30,29,2,6,3,BB,ROU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,107.1,0,1,0
City Hotel,June,25,17,1,2,2,BB,FRA,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,65.0,0,1,0
Resort Hotel,July,30,25,2,4,2,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,110.7,1,0,0
City Hotel,November,45,3,0,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,89.0,0,0,1
Resort Hotel,March,13,21,1,2,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,36.96,0,1,0
City Hotel,March,13,30,0,3,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,93.78,0,1,0
City Hotel,August,31,5,2,2,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient,130.5,0,1,0
Resort Hotel,February,9,27,1,1,2,FB,ESP,Groups,Direct,A,A,0,No Deposit,Transient-Party,64.0,0,0,0
City Hotel,September,36,2,2,2,2,BB,ISR,Online TA,TA/TO,F,F,0,No Deposit,Transient,181.8,0,1,1
Resort Hotel,April,16,22,2,5,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,68.95,0,0,1
City Hotel,May,21,21,2,1,3,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,Transient,285.17,0,0,1
City Hotel,August,32,5,1,4,2,BB,FRA,Online TA,TA/TO,A,D,0,No Deposit,Transient-Party,76.5,1,1,0
City Hotel,August,35,21,2,1,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,135.9,0,0,0
City Hotel,October,42,14,0,2,1,HB,DEU,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient-Party,90.0,0,0,0
City Hotel,February,5,4,2,5,1,SC,PRT,Online TA,TA/TO,A,A,1,No Deposit,Transient,74.8,0,0,0
Resort Hotel,December,53,27,0,3,2,BB,DEU,Online TA,TA/TO,E,E,0,No Deposit,Transient,75.0,0,0,1
City Hotel,September,37,11,0,2,1,BB,PRT,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,50.0,0,0,0
City Hotel,April,14,5,0,4,1,BB,NLD,Direct,Direct,A,A,0,No Deposit,Transient,99.0,0,0,0
Resort Hotel,December,49,3,4,10,2,BB,NLD,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,30.0,0,0,0
City Hotel,July,32,31,2,2,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,62.18,0,1,0
City Hotel,May,22,31,0,1,1,BB,PRT,Corporate,Corporate,A,D,0,No Deposit,Transient,95.0,0,1,0
City Hotel,May,20,19,1,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,110.0,0,0,1
City Hotel,January,2,8,2,5,1,SC,NLD,Online TA,TA/TO,A,D,0,No Deposit,Transient,52.35,0,1,0
City Hotel,September,38,13,0,3,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,184.0,0,1,0
City Hotel,September,37,8,0,1,2,SC,USA,Online TA,TA/TO,A,F,0,No Deposit,Transient,129.0,0,2,0
City Hotel,April,16,17,1,2,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,97.02,0,1,0
City Hotel,May,22,30,0,3,2,SC,CN,Online TA,TA/TO,A,A,0,No Deposit,Transient,130.67,0,0,1
City Hotel,January,5,25,1,1,1,BB,ESP,Corporate,Corporate,A,A,1,No Deposit,Transient-Party,59.0,0,0,0
City Hotel,December,49,5,2,1,1,HB,ESP,Groups,TA/TO,A,A,0,Non Refund,Transient,65.0,0,0,1
Resort Hotel,July,28,5,0,4,2,HB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,135.3,1,1,0
Resort Hotel,March,10,11,1,1,2,BB,PRT,Corporate,Direct,A,E,2,No Deposit,Transient-Party,58.0,0,0,0
City Hotel,December,51,16,0,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,104.0,0,1,0
City Hotel,July,28,10,1,3,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,116.1,0,0,0
Resort Hotel,May,18,3,0,1,2,BB,GBR,Offline TA/TO,TA/TO,D,D,2,No Deposit,Transient-Party,62.0,0,1,0
City Hotel,April,17,27,0,3,2,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,115.0,0,0,1
City Hotel,April,15,7,0,2,1,BB,CHN,Online TA,TA/TO,A,A,0,No Deposit,Transient,95.0,0,0,1
City Hotel,March,11,12,0,1,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,97.0,0,1,0
City Hotel,April,17,27,2,3,2,HB,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,154.8,0,2,0
City Hotel,March,10,5,2,0,1,BB,SWE,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,67.5,0,0,0
City Hotel,November,48,24,2,3,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,96.9,0,2,0
Resort Hotel,September,37,5,1,5,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,165.0,2,1,0
City Hotel,July,28,9,0,1,2,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,139.0,0,1,0
Resort Hotel,July,27,7,0,2,2,BB,PRT,Groups,Direct,A,D,0,No Deposit,Transient,89.1,0,0,0
City Hotel,November,48,22,0,2,1,BB,SWE,Offline TA/TO,Direct,A,A,0,No Deposit,Transient,75.0,0,1,0
City Hotel,August,33,13,2,1,2,SC,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,94.5,0,1,1
City Hotel,August,32,7,1,3,2,HB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,183.0,0,3,1
City Hotel,April,18,24,2,0,3,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,133.2,0,2,0
City Hotel,August,34,25,2,4,3,HB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,222.3,1,0,0
Resort Hotel,December,53,29,0,3,2,HB,PRT,Direct,Direct,A,D,0,No Deposit,Transient,145.67,1,0,0
City Hotel,October,43,23,2,2,2,BB,BEL,Direct,Direct,A,A,0,No Deposit,Transient,85.5,0,0,0
City Hotel,December,53,26,1,5,2,HB,BEL,Online TA,TA/TO,F,F,0,No Deposit,Transient,196.07,0,1,1
Resort Hotel,June,25,21,4,10,2,HB,ITA,Direct,Direct,A,A,1,No Deposit,Transient,159.0,0,0,0
City Hotel,February,6,6,2,2,2,BB,CHE,Online TA,TA/TO,A,A,0,No Deposit,Transient,55.24,0,1,0
City Hotel,July,29,14,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
City Hotel,June,22,2,0,1,2,SC,POL,Online TA,TA/TO,A,A,0,No Deposit,Transient,140.0,0,0,0
City Hotel,June,23,10,2,3,2,BB,GRC,Online TA,TA/TO,D,D,0,No Deposit,Transient,150.55,0,0,0
City Hotel,September,39,22,1,3,2,BB,PRT,Online TA,TA/TO,A,A,1,No Deposit,Transient,77.23,0,2,0
City Hotel,July,31,27,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient-Party,62.0,0,0,1
Resort Hotel,August,32,4,2,8,2,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,110.7,0,1,0
Resort Hotel,June,24,12,4,10,2,HB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,93.6,0,0,1
Resort Hotel,November,47,16,0,2,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,38.7,0,1,1
Resort Hotel,March,11,15,0,1,2,BB,PRT,Direct,Direct,D,D,0,No Deposit,Transient,80.0,0,0,0
Resort Hotel,October,44,28,2,5,1,HB,CHE,Direct,Direct,A,A,0,No Deposit,Transient,63.76,0,1,0
City Hotel,June,23,3,1,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,132.0,0,0,0
Resort Hotel,June,25,13,3,6,2,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,89.12,0,1,0
City Hotel,February,10,28,2,2,1,BB,CN,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient-Party,75.75,0,0,0
Resort Hotel,September,39,19,1,1,2,BB,CHE,Online TA,TA/TO,A,A,0,No Deposit,Transient,86.0,0,1,0
Resort Hotel,April,14,2,2,2,2,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,40.95,0,0,0
City Hotel,August,35,30,0,3,3,HB,ITA,Online TA,TA/TO,D,D,0,No Deposit,Transient,195.47,0,3,0
City Hotel,August,35,27,1,0,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,109.0,0,1,0
City Hotel,July,29,16,2,4,3,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,139.2,0,0,1
City Hotel,October,41,9,1,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,75.0,0,0,1
Resort Hotel,July,31,31,1,2,2,BB,BRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,134.0,0,1,0
Resort Hotel,April,15,10,1,2,2,HB,PRT,Direct,Direct,A,A,5,No Deposit,Transient,123.28,0,0,0
City Hotel,March,12,24,1,2,2,BB,NLD,Online TA,TA/TO,D,D,0,No Deposit,Transient,108.0,0,1,0
City Hotel,August,33,8,1,3,2,BB,FRA,Online TA,TA/TO,D,D,2,No Deposit,Transient,127.8,0,0,1
City Hotel,February,7,8,1,3,2,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,81.0,0,1,0
City Hotel,December,51,11,2,4,1,BB,ROU,Online TA,TA/TO,D,D,0,No Deposit,Transient,96.9,0,0,1
City Hotel,September,39,21,1,2,2,BB,ISR,Online TA,TA/TO,D,D,0,No Deposit,Contract,136.0,0,2,0
City Hotel,October,43,16,2,1,2,BB,HUN,Online TA,TA/TO,A,A,0,No Deposit,Transient,96.3,0,0,1
City Hotel,November,46,7,1,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,100.0,0,0,1
Resort Hotel,April,18,25,1,2,2,BB,PRT,Corporate,Corporate,E,E,0,No Deposit,Transient,85.0,0,0,1
Resort Hotel,January,3,11,1,0,1,BB,PRT,Direct,Direct,A,A,1,No Deposit,Transient,38.0,0,0,0
Resort Hotel,February,7,13,1,2,1,BB,GBR,Online TA,TA/TO,A,D,0,No Deposit,Transient,43.0,0,1,0
Resort Hotel,November,47,15,0,1,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,42.04,1,1,0
Resort Hotel,April,15,14,1,2,2,BB,MAR,Direct,Direct,C,C,0,No Deposit,Transient,158.67,1,1,0
City Hotel,September,37,8,0,2,2,BB,DEU,Online TA,TA/TO,A,A,1,No Deposit,Transient,135.9,0,2,0
City Hotel,March,13,21,1,0,2,SC,PRT,Online TA,TA/TO,A,E,0,No Deposit,Transient,68.53,0,0,0
City Hotel,July,28,12,0,3,1,BB,AUS,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,91.33,0,1,0
City Hotel,April,17,18,1,0,1,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,95.0,0,0,1
City Hotel,May,19,2,1,3,2,BB,FRA,Direct,Direct,A,A,2,No Deposit,Transient,104.25,0,3,0
City Hotel,August,35,28,1,1,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,126.0,0,0,1
City Hotel,May,20,20,2,1,2,BB,IRL,Direct,Direct,A,A,0,No Deposit,Transient,144.0,0,1,0
City Hotel,June,24,12,1,3,2,SC,AUT,Online TA,TA/TO,A,A,0,No Deposit,Transient,126.0,0,0,0
City Hotel,August,35,27,1,0,1,BB,FRA,Direct,Direct,A,A,0,No Deposit,Transient,99.0,0,2,0
City Hotel,June,23,10,0,1,1,SC,ESP,Online TA,TA/TO,A,A,1,No Deposit,Transient,106.28,0,0,0
City Hotel,August,34,20,1,1,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient-Party,94.5,0,1,0
City Hotel,June,26,24,0,2,1,BB,SRB,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,95.0,0,0,0
City Hotel,May,18,2,0,2,1,BB,PRT,Corporate,Corporate,A,A,1,No Deposit,Transient,104.0,0,0,0
City Hotel,September,37,8,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
Resort Hotel,September,36,3,1,3,2,HB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,144.9,0,2,0
City Hotel,October,42,9,2,3,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,106.25,0,0,1
Resort Hotel,July,31,25,1,3,2,BB,CHE,Online TA,TA/TO,A,D,0,No Deposit,Transient,209.0,0,0,0
City Hotel,October,41,2,2,0,1,SC,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,108.0,0,1,1
City Hotel,August,31,1,2,1,1,HB,ITA,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient-Party,36.25,0,0,0
Resort Hotel,November,46,7,1,5,2,HB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,51.84,0,0,1
Resort Hotel,April,18,30,0,1,2,BB,USA,Online TA,TA/TO,E,E,0,No Deposit,Transient,85.0,0,0,0
City Hotel,September,37,8,1,3,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,111.19,0,2,0
Resort Hotel,February,7,13,0,1,2,HB,PRT,Direct,Direct,H,H,0,No Deposit,Transient,174.0,1,0,0
City Hotel,May,20,15,1,4,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,147.6,0,1,0
Resort Hotel,August,33,18,0,2,2,BB,PRT,Online TA,TA/TO,E,F,0,No Deposit,Transient,254.0,1,4,0
City Hotel,February,7,16,0,3,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,127.0,1,1,0
City Hotel,October,44,28,2,2,2,SC,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,100.1,0,1,0
City Hotel,January,1,6,2,4,1,BB,CHN,Online TA,TA/TO,A,A,0,No Deposit,Transient,67.32,0,0,1
Resort Hotel,July,30,29,4,10,2,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,123.5,0,0,0
City Hotel,August,33,19,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,140.0,0,0,1
City Hotel,April,17,29,2,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,March,10,5,2,1,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient,97.2,0,3,0
City Hotel,July,30,20,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Contract,62.0,0,0,1
City Hotel,August,32,7,0,2,2,BB,ESP,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,0
Resort Hotel,February,6,10,0,2,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,54.0,0,0,1
Resort Hotel,April,14,2,1,0,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,77.0,0,0,1
City Hotel,August,35,23,1,0,2,BB,PRT,Online TA,TA/TO,F,F,0,No Deposit,Contract,153.0,0,0,0
City Hotel,May,19,1,2,1,2,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient-Party,140.4,0,1,0
Resort Hotel,January,1,2,1,2,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,54.0,1,2,0
City Hotel,December,51,12,2,5,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,103.7,0,1,1
City Hotel,June,25,14,0,3,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,120.0,0,0,1
City Hotel,January,4,19,0,3,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,80.0,0,0,1
Resort Hotel,November,48,24,2,5,1,BB,GBR,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient,23.93,0,0,0
Resort Hotel,October,41,4,1,5,2,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,48.08,0,0,0
City Hotel,May,18,5,2,2,2,SC,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,150.0,0,1,1
City Hotel,September,37,7,1,3,2,BB,BEL,Online TA,TA/TO,A,A,1,No Deposit,Transient,135.0,0,0,0
City Hotel,January,5,26,0,2,1,BB,ITA,Corporate,Corporate,A,A,0,No Deposit,Transient,79.0,0,0,0
City Hotel,September,39,21,1,1,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,48.0,0,0,1
Resort Hotel,May,23,30,0,0,2,BB,PRT,Groups,Direct,A,D,5,No Deposit,Transient-Party,0.0,0,0,0
City Hotel,October,42,9,2,3,2,BB,DEU,Offline TA/TO,TA/TO,A,A,2,No Deposit,Transient-Party,80.75,0,0,0
City Hotel,June,24,10,1,2,1,BB,PRT,Offline TA/TO,TA/TO,A,B,1,No Deposit,Transient-Party,75.33,0,1,0
Resort Hotel,August,32,5,2,5,2,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,221.0,1,1,0
City Hotel,April,15,3,2,0,2,BB,BGR,Online TA,TA/TO,A,E,0,No Deposit,Transient,117.0,0,0,0
Resort Hotel,April,16,14,0,1,1,BB,PRT,Corporate,Corporate,A,B,0,No Deposit,Transient,42.0,0,0,0
City Hotel,March,12,15,0,2,1,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,85.0,0,1,0
Resort Hotel,May,20,12,0,2,2,BB,PRT,Corporate,Corporate,A,F,0,No Deposit,Transient,50.0,0,1,0
City Hotel,October,43,20,0,2,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Contract,90.9,0,2,1
Resort Hotel,June,23,10,0,1,2,BB,IRL,Offline TA/TO,TA/TO,E,E,0,No Deposit,Transient,93.0,0,0,0
City Hotel,June,22,2,0,1,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,126.0,0,0,1
City Hotel,September,38,17,0,1,2,SC,DEU,Online TA,TA/TO,A,D,0,No Deposit,Transient,96.0,0,0,0
Resort Hotel,April,15,3,2,2,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,74.75,0,2,1
City Hotel,November,48,21,1,1,1,BB,EST,Groups,Corporate,A,A,0,No Deposit,Transient,75.0,0,0,0
Resort Hotel,June,24,16,3,7,2,BB,FRA,Online TA,TA/TO,D,D,2,No Deposit,Transient,88.74,0,1,0
City Hotel,June,27,26,1,0,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient-Party,65.0,0,0,0
City Hotel,December,52,21,0,4,2,BB,FRA,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient,75.0,0,0,0
City Hotel,October,41,2,2,5,2,BB,CHE,Online TA,TA/TO,A,A,0,No Deposit,Transient,100.3,0,0,1
City Hotel,January,3,18,0,1,1,BB,ESP,Groups,TA/TO,A,D,0,No Deposit,Transient-Party,75.0,0,0,0
Resort Hotel,October,43,21,0,3,2,BB,IND,Online TA,TA/TO,D,D,0,No Deposit,Transient,56.0,1,3,0
Resort Hotel,September,36,2,0,2,2,HB,PRT,Direct,Direct,D,D,1,No Deposit,Transient,189.6,1,0,0
City Hotel,October,42,9,2,2,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,75.23,0,1,0
City Hotel,March,13,21,1,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.8,0,0,1
City Hotel,October,41,2,2,1,2,BB,FRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,85.0,0,0,0
